system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
native-olap,sf10,2,0,q06,OK,1,67,-,53,4,6,3,266,61879424,385511312,9099165,32e484abbe5b45b0-8f476005328d5950,1789795809293,1789795809360,6822560,0,4.97,-
native-olap,sf10,2,0,q07,OK,4,284,-,269,30,32,27,1446,418905232,1016362490,34829712,4fb022c14d6c4932-b789e44bfa53e1d4,1789795809422,1789795809706,6822560,0,5.00,-
native-olap,sf10,2,0,q08,OK,2,645,-,629,57,30,25,3592,367600464,2190495395,77975112,de9366b3ec3e4c3c-9c217ca15dea774c,1789795809795,1789795810440,7072348,0,5.22,-
native-olap,sf10,2,0,q09,OK,175,780,-,766,30,25,21,4653,1116424320,2791918061,85085729,5d85c7199f924895-8c56666f7b753392,1789795810500,1789795811281,7072348,0,5.49,-
native-olap,sf10,2,0,q10,OK,20,559,-,544,10,37,21,3474,1359987516,650625176,21876025,1c54541aa3a4213-a58209e18706ec80,1789795811323,1789795811883,7258816,0,5.87,-
native-olap,sf10,2,0,q11,OK,171440,304,-,246,12,15,12,993,540928844,290230778,16200050,8949be7fadee42b7-9367410a24708c05,1789795811924,1789795812229,7258816,0,5.27,-
native-olap,sf10,2,0,q12,OK,2,250,-,229,7,26,19,1285,367443592,445482380,25596269,c4aea84197454c9f-91a40b73d5630a1c,1789795812268,1789795812519,7258816,0,5.71,-
native-olap,sf10,2,0,q13,OK,46,972,-,957,6,13,10,6604,518810504,975126098,16500000,9c81cb88be964781-abd2eab3d6268a71,1789795812556,1789795813528,7258816,0,6.23,-
native-olap,sf10,2,0,q14,OK,1,91,-,76,6,9,6,354,369762176,89931432,2749167,978f88b2afdb44f0-814807ca0c24b09e,1789795813565,1789795813657,7178208,0,5.50,-
native-olap,sf10,2,0,q15,OK,1,193,-,178,12,13,10,1009,612630848,212565741,4631428,35312b9968cb4d5d-b0913eaedf15cdf6,1789795813700,1789795813893,7178208,0,5.33,-
native-olap,sf10,2,0,q16,OK,27840,328,-,299,9,13,11,1798,709492760,171348473,10071649,24c6452a53f4445a-b8c1d7c5019dd797,1789795813932,1789795814260,7232520,0,5.01,-
native-olap,sf10,2,0,q17,OK,1,140,-,126,8,7,5,720,134525120,1223939068,54368971,af4a09b857c4c11-8c20eff07103668e,1789795814298,1789795814438,7232520,0,4.70,-
native-olap,sf10,2,0,q18,OK,100,870,-,856,12,34,26,5697,1087443552,1493286048,68862466,6bded216bd9f45d8-965fde3800d2112b,1789795814481,1789795815352,7792128,0,5.66,-
native-olap,sf10,2,0,q19,OK,1,237,-,221,12,7,5,1381,99708688,1563479044,61986052,d2963075cd9641a8-a75d36e6f1ec3027,1789795815396,1789795815634,7792128,0,4.51,-
native-olap,sf10,2,0,q20,OK,1804,199,-,183,12,19,14,862,401435664,557820154,12171958,618db79beace44f2-8e1666b195f0345d,1789795815678,1789795815878,7792128,0,4.51,-
native-olap,sf10,2,0,q21,OK,100,915,-,901,36,39,34,5957,468262404,2356096141,135165689,abf8afe5474348f0-97abf827652f8fcd,1789795815947,1789795816862,7601208,0,5.91,-
